#{"t_start": 1639660169.1635396, "env_id": null}
r,l,t
-6.793888,1001,6.9263
-4.750899,1001,13.829198
-1.395848,1001,20.720569
-1.913562,665,25.455774
-1.22191,678,30.996887
-1.708108,157,32.382982
-2.548351,1001,39.367698
-2.290295,993,46.285094
-6.244575,1001,53.198736
-2.453783,832,59.770382
-2.625644,1001,66.622455
-3.641682,1001,73.769561
-1.636258,197,75.391634
-2.110097,773,81.485755
-0.900699,18,81.980119
-4.374519,1001,91.406633
-2.505282,1001,99.690175
-2.637542,1001,107.934875
-3.572962,817,114.61388
-1.735586,399,118.077239
-0.332623,205,119.954444
-1.586072,205,121.838796
-0.91356,397,125.314025
-2.603131,436,129.963003
-1.074779,104,131.086868
-2.053883,901,138.539953
-3.910186,1001,146.6798
-0.743753,255,148.986778
-0.026398,183,150.765907
-2.399158,364,153.88237
-1.788681,1001,163.17479
-1.136413,1001,171.316584
0.287467,1001,179.419395
-2.107663,444,183.147844
-0.970261,510,187.454376
-1.919072,446,191.232993
-1.134329,1001,200.240969
-1.143645,1001,208.329383
-1.340071,767,214.733076
-0.644469,1001,222.875484
-0.211687,123,224.140878
1.177622,1001,233.188886
-2.424234,806,239.750407
-0.222507,211,241.796293
-0.376818,401,245.282512
0.267945,505,249.487886
1.370552,736,255.537468
-0.523254,733,261.581516
-0.833465,1001,270.624381
1.462542,1001,278.652275
-1.811265,467,282.620912
-0.842267,213,284.592684
-1.308947,776,290.942072
0.118876,126,292.220638
-0.634481,741,298.307612
-0.219671,430,302.853863
0.867994,191,304.665354
-0.728705,956,312.455149
-0.485069,318,315.243772
-0.19394,1001,323.421379
1.296201,929,330.925375
0.190659,122,332.200417
-0.661964,61,333.003405
-0.801598,24,333.524764
1.038709,1001,342.638733
3.3467,1001,350.722055
1.729122,637,356.002534
-0.860311,23,356.527467
-0.738253,70,357.360187
0.275909,551,361.973584
1.472715,748,368.136624
2.636157,552,373.64835
0.157752,166,375.262153
0.037422,280,377.729446
4.430398,1001,385.932126
-0.840545,20,386.439055
0.593911,258,388.746537
-0.328096,123,390.038035
1.578062,600,395.010786
1.507497,465,398.920667
0.791005,1001,406.989534
0.047917,135,409.293514
-1.252206,114,410.495757
2.000022,600,415.516831
-0.060865,311,418.261286
0.182499,394,421.669631
0.033946,119,422.899909
1.435159,362,426.123589
1.566868,363,429.300373
0.18178,171,430.962252
3.249484,773,437.239434
3.05297,737,443.275942
-0.906269,21,443.778946
-1.376481,287,447.302605
7.034476,1001,455.425062
2.669635,478,459.583544
1.990087,664,465.325649
4.695009,1001,473.440808
0.094795,141,474.838612
3.574371,1001,483.718103
7.086507,1001,491.822628
1.594561,332,494.648079
6.385354,1001,502.827206
-0.440469,586,507.786774
1.894061,1001,516.8276
7.609469,1001,524.884711
7.850463,1001,533.08101
7.699783,1001,541.204059
6.50824,629,546.400805
2.962075,1001,555.395688
6.295013,1001,563.43372
9.464881,1001,571.634951
9.147222,1001,579.701576
4.78556,1001,588.844908
5.065864,1001,596.938987
11.525277,1001,604.884774
7.640357,937,612.425211
6.729156,1001,621.471437
11.321393,1001,629.546223
9.865793,1001,637.508796
13.093366,1001,645.537901
11.862759,1001,654.639241
-0.888351,21,655.138433
7.668389,871,662.33874
12.116205,1001,672.148663
14.580332,1001,681.26328
13.643293,1001,692.185888
8.243003,779,702.648703
